/* The timer/log is segmented. If you need previous logs, check the igt_freeze_1.log file. */
Tick 59824(59391), Delay 38 ms, IGT 49:29.364, RTA 56:30.479-56:30.517
Tick 59825(59392), Delay 57 ms, IGT 49:29.414, RTA 56:30.517-56:30.574
Tick 59826(59393), Delay 34 ms, IGT 49:29.464, RTA 56:30.574-56:30.608
Tick 59829(59396), Delay 43 ms, IGT 49:29.614, RTA 56:30.709-56:30.752
Tick 59830(59397), Delay 64 ms, IGT 49:29.664, RTA 56:30.752-56:30.816
Tick 59831(59398), Delay 45 ms, IGT 49:29.714, RTA 56:30.816-56:30.861
Tick 59833(59400), Delay 65 ms, IGT 49:29.814, RTA 56:30.910-56:30.975
Tick 59834(59401), Delay 44 ms, IGT 49:29.864, RTA 56:30.975-56:31.019
Tick 59835(59402), Delay 32 ms, IGT 49:29.914, RTA 56:31.019-56:31.051
Tick 59837(59404), Delay 56 ms, IGT 49:30.014, RTA 56:31.102-56:31.158
Tick 59839(59406), Delay 60 ms, IGT 49:30.114, RTA 56:31.209-56:31.269
Tick 59840(59407), Delay 74 ms, IGT 49:30.164, RTA 56:31.269-56:31.343
Tick 59843(59410), Delay 43 ms, IGT 49:30.314, RTA 56:31.440-56:31.483
Tick 59844(59411), Delay 36 ms, IGT 49:30.364, RTA 56:31.483-56:31.519
Tick 59845(59412), Delay 43 ms, IGT 49:30.414, RTA 56:31.519-56:31.562
Tick 59846(59413), Delay 39 ms, IGT 49:30.464, RTA 56:31.562-56:31.601
Tick 59847(59414), Delay 75 ms, IGT 49:30.514, RTA 56:31.601-56:31.676
Tick 59848(59415), Delay 44 ms, IGT 49:30.564, RTA 56:31.676-56:31.720
Tick 59849(59416), Delay 31 ms, IGT 49:30.614, RTA 56:31.720-56:31.751
Tick 59850(59417), Delay 57 ms, IGT 49:30.664, RTA 56:31.751-56:31.808
Tick 59852(59419), Delay 81 ms, IGT 49:30.764, RTA 56:31.855-56:31.936
Tick 59854(59421), Delay 43 ms, IGT 49:30.864, RTA 56:31.988-56:32.031
Tick 59856(59423), Delay 40 ms, IGT 49:30.964, RTA 56:32.078-56:32.118
Tick 59858(59425), Delay 35 ms, IGT 49:31.064, RTA 56:32.167-56:32.202
Tick 59859(59426), Delay 91 ms, IGT 49:31.114, RTA 56:32.202-56:32.293
Tick 59860(59427), Delay 26 ms, IGT 49:31.164, RTA 56:32.293-56:32.319
Tick 59862(59429), Delay 38 ms, IGT 49:31.264, RTA 56:32.366-56:32.404
Tick 59863(59430), Delay 45 ms, IGT 49:31.314, RTA 56:32.404-56:32.449
Tick 59864(59431), Delay 57 ms, IGT 49:31.364, RTA 56:32.449-56:32.506
Tick 59865(59432), Delay 70 ms, IGT 49:31.414, RTA 56:32.506-56:32.576
Tick 59866(59433), Delay 25 ms, IGT 49:31.464, RTA 56:32.576-56:32.601
Tick 59868(59435), Delay 70 ms, IGT 49:31.564, RTA 56:32.652-56:32.722
Tick 59872(59439), Delay 30 ms, IGT 49:31.764, RTA 56:32.872-56:32.902
Tick 59874(59441), Delay 63 ms, IGT 49:31.864, RTA 56:32.952-56:33.015
Tick 59875(59442), Delay 37 ms, IGT 49:31.914, RTA 56:33.015-56:33.052
Tick 59876(59443), Delay 68 ms, IGT 49:31.964, RTA 56:33.052-56:33.120
Tick 59877(59444), Delay 39 ms, IGT 49:32.014, RTA 56:33.120-56:33.159
Tick 59878(59445), Delay 45 ms, IGT 49:32.064, RTA 56:33.159-56:33.204
Tick 59880(59447), Delay 57 ms, IGT 49:32.164, RTA 56:33.252-56:33.309
Tick 59881(59448), Delay 45 ms, IGT 49:32.214, RTA 56:33.309-56:33.354
Tick 59884(59451), Delay 56 ms, IGT 49:32.364, RTA 56:33.460-56:33.516
Tick 59885(59452), Delay 56 ms, IGT 49:32.414, RTA 56:33.516-56:33.572
Tick 59886(59453), Delay 34 ms, IGT 49:32.464, RTA 56:33.572-56:33.606
Tick 59889(59456), Delay 74 ms, IGT 49:32.614, RTA 56:33.703-56:33.777
Tick 59890(59457), Delay 41 ms, IGT 49:32.664, RTA 56:33.777-56:33.818
Tick 59891(59458), Delay 44 ms, IGT 49:32.714, RTA 56:33.818-56:33.862
Tick 59892(59459), Delay 38 ms, IGT 49:32.764, RTA 56:33.862-56:33.900
Tick 59893(59460), Delay 67 ms, IGT 49:32.814, RTA 56:33.900-56:33.967
Tick 59895(59462), Delay 43 ms, IGT 49:32.914, RTA 56:34.017-56:34.060
Tick 59898(59465), Delay 45 ms, IGT 49:33.064, RTA 56:34.162-56:34.207
Tick 59899(59466), Delay 60 ms, IGT 49:33.114, RTA 56:34.207-56:34.267
Tick 59900(59467), Delay 38 ms, IGT 49:33.164, RTA 56:34.267-56:34.305
Tick 59901(59468), Delay 58 ms, IGT 49:33.214, RTA 56:34.305-56:34.363
Tick 59902(59469), Delay 58 ms, IGT 49:33.264, RTA 56:34.363-56:34.421
Tick 59903(59470), Delay 42 ms, IGT 49:33.314, RTA 56:34.421-56:34.463
Tick 59906(59473), Delay 55 ms, IGT 49:33.464, RTA 56:34.559-56:34.614
Tick 59907(59474), Delay 45 ms, IGT 49:33.514, RTA 56:34.614-56:34.659
Tick 59909(59476), Delay 41 ms, IGT 49:33.614, RTA 56:34.713-56:34.754
Tick 59910(59477), Delay 60 ms, IGT 49:33.664, RTA 56:34.754-56:34.814
Tick 59911(59478), Delay 41 ms, IGT 49:33.714, RTA 56:34.814-56:34.855
Tick 59912(59479), Delay 60 ms, IGT 49:33.764, RTA 56:34.855-56:34.915
Tick 59913(59480), Delay 42 ms, IGT 49:33.814, RTA 56:34.915-56:34.957
Tick 59916(59483), Delay 40 ms, IGT 49:33.964, RTA 56:35.061-56:35.101
Tick 59917(59484), Delay 78 ms, IGT 49:34.014, RTA 56:35.101-56:35.179
Tick 59918(59485), Delay 38 ms, IGT 49:34.064, RTA 56:35.179-56:35.217
Tick 59920(59487), Delay 40 ms, IGT 49:34.164, RTA 56:35.269-56:35.309
Tick 59923(59490), Delay 63 ms, IGT 49:34.314, RTA 56:35.412-56:35.475
Tick 59924(59491), Delay 33 ms, IGT 49:34.364, RTA 56:35.475-56:35.508
Tick 59926(59493), Delay 66 ms, IGT 49:34.464, RTA 56:35.557-56:35.623
Tick 59927(59494), Delay 66 ms, IGT 49:34.514, RTA 56:35.623-56:35.689
Tick 59929(59496), Delay 55 ms, IGT 49:34.614, RTA 56:35.740-56:35.795
Tick 59930(59497), Delay 41 ms, IGT 49:34.664, RTA 56:35.795-56:35.836
Tick 59933(59500), Delay 36 ms, IGT 49:34.814, RTA 56:35.939-56:35.975
Tick 59934(59501), Delay 32 ms, IGT 49:34.864, RTA 56:35.975-56:36.007
Tick 59935(59502), Delay 67 ms, IGT 49:34.914, RTA 56:36.007-56:36.074
Tick 59936(59503), Delay 39 ms, IGT 49:34.964, RTA 56:36.074-56:36.113
Tick 59940(59507), Delay 41 ms, IGT 49:35.164, RTA 56:36.262-56:36.303
Tick 59942(59509), Delay 86 ms, IGT 49:35.264, RTA 56:36.349-56:36.435
Tick 59945(59512), Delay 37 ms, IGT 49:35.414, RTA 56:36.536-56:36.573
