Tick 252(202), Delay 6 ms, IGT 00:10.068, RTA 00:15.390-00:15.396
Tick 253(203), Delay 72 ms, IGT 00:10.118, RTA 00:15.396-00:15.468
Tick 254(204), Delay 68 ms, IGT 00:10.168, RTA 00:15.468-00:15.536
Tick 255(205), Delay 6 ms, IGT 00:10.218, RTA 00:15.536-00:15.542
Tick 256(206), Delay 71 ms, IGT 00:10.268, RTA 00:15.542-00:15.613
Tick 257(207), Delay 62 ms, IGT 00:10.318, RTA 00:15.613-00:15.675
Tick 258(208), Delay 65 ms, IGT 00:10.368, RTA 00:15.675-00:15.740
Tick 259(209), Delay 5 ms, IGT 00:10.418, RTA 00:15.740-00:15.745
Tick 260(210), Delay 56 ms, IGT 00:10.468, RTA 00:15.745-00:15.801
Tick 262(212), Delay 57 ms, IGT 00:10.568, RTA 00:15.848-00:15.905
Tick 263(213), Delay 59 ms, IGT 00:10.618, RTA 00:15.905-00:15.964
Tick 264(214), Delay 62 ms, IGT 00:10.668, RTA 00:15.964-00:16.026
Tick 265(215), Delay 7 ms, IGT 00:10.718, RTA 00:16.026-00:16.033
Tick 266(216), Delay 112 ms, IGT 00:10.768, RTA 00:16.033-00:16.145
Tick 267(217), Delay 62 ms, IGT 00:10.818, RTA 00:16.145-00:16.207
Tick 268(218), Delay 6 ms, IGT 00:10.868, RTA 00:16.207-00:16.213
Tick 269(219), Delay 81 ms, IGT 00:10.918, RTA 00:16.213-00:16.294
Tick 270(220), Delay 73 ms, IGT 00:10.968, RTA 00:16.294-00:16.367
Tick 271(221), Delay 99 ms, IGT 00:11.018, RTA 00:16.367-00:16.466
Tick 272(222), Delay 5 ms, IGT 00:11.068, RTA 00:16.466-00:16.471
Tick 273(223), Delay 5 ms, IGT 00:11.118, RTA 00:16.471-00:16.476
Tick 274(224), Delay 70 ms, IGT 00:11.168, RTA 00:16.476-00:16.546
Tick 275(225), Delay 5 ms, IGT 00:11.218, RTA 00:16.546-00:16.551
Tick 276(226), Delay 79 ms, IGT 00:11.268, RTA 00:16.551-00:16.630
Tick 277(227), Delay 7 ms, IGT 00:11.318, RTA 00:16.630-00:16.637
Tick 278(228), Delay 128 ms, IGT 00:11.368, RTA 00:16.637-00:16.765
Tick 279(229), Delay 5 ms, IGT 00:11.418, RTA 00:16.765-00:16.770
Tick 280(230), Delay 75 ms, IGT 00:11.468, RTA 00:16.770-00:16.845
Tick 281(231), Delay 6 ms, IGT 00:11.518, RTA 00:16.845-00:16.851
Tick 282(232), Delay 160 ms, IGT 00:11.568, RTA 00:16.851-00:17.011
Tick 283(233), Delay 4 ms, IGT 00:11.618, RTA 00:17.011-00:17.015
Tick 284(234), Delay 5 ms, IGT 00:11.668, RTA 00:17.015-00:17.020
Tick 285(235), Delay 101 ms, IGT 00:11.718, RTA 00:17.020-00:17.121
Tick 286(236), Delay 6 ms, IGT 00:11.768, RTA 00:17.121-00:17.127
Tick 287(237), Delay 76 ms, IGT 00:11.818, RTA 00:17.127-00:17.203
Tick 288(238), Delay 6 ms, IGT 00:11.868, RTA 00:17.203-00:17.209
Tick 289(239), Delay 72 ms, IGT 00:11.918, RTA 00:17.209-00:17.281
Tick 290(240), Delay 5 ms, IGT 00:11.968, RTA 00:17.281-00:17.286
Tick 291(241), Delay 63 ms, IGT 00:12.018, RTA 00:17.286-00:17.349
Tick 292(242), Delay 57 ms, IGT 00:12.068, RTA 00:17.349-00:17.406
Tick 293(243), Delay 59 ms, IGT 00:12.118, RTA 00:17.406-00:17.465
Tick 294(244), Delay 81 ms, IGT 00:12.168, RTA 00:17.465-00:17.546
Tick 295(245), Delay 6 ms, IGT 00:12.218, RTA 00:17.546-00:17.552
Tick 296(246), Delay 16136 ms, IGT 00:12.268, RTA 00:17.552-00:33.688
Tick 297(247), Delay 33 ms, IGT 00:12.318, RTA 00:33.688-00:33.721
Tick 298(248), Delay 21 ms, IGT 00:12.368, RTA 00:33.721-00:33.742
Tick 300(250), Delay 71 ms, IGT 00:12.468, RTA 00:33.791-00:33.862
Tick 301(251), Delay 29 ms, IGT 00:12.518, RTA 00:33.862-00:33.891
Tick 302(252), Delay 58 ms, IGT 00:12.568, RTA 00:33.891-00:33.949
Tick 305(255), Delay 84 ms, IGT 00:12.718, RTA 00:34.053-00:34.137
Tick 306(256), Delay 22 ms, IGT 00:12.768, RTA 00:34.137-00:34.159
